Date,Closing Price (Approx 5-6 PM EST),Score
16 Feb 2025,2900.7,10
17 Feb 2025,2900.7,10
18 Feb 2025,2949,10
19 Feb 2025,2936.1,8
20 Feb 2025,2956.1,10
21 Feb 2025,2956.1,10
22 Feb 2025,2956.1,10
23 Feb 2025,2953.2,10
24 Feb 2025,2963.2,7
25 Feb 2025,2918.8,10
26 Feb 2025,2930.6,10
27 Feb 2025,2895.9,7
28 Feb 2025,2895.9,8
1 Mar 2025,2895.9,8
2 Mar 2025,2848.5,8
3 Mar 2025,2901.1,8
4 Mar 2025,2920.6,11
5 Mar 2025,2926,14
6 Mar 2025,2926.6,12
7 Mar 2025,2926.6,11
8 Mar 2025,2926.6,11
9 Mar 2025,2914.1,11
10 Mar 2025,2899.4,7
11 Mar 2025,2920.9,8
12 Mar 2025,2946.8,10
13 Mar 2025,2991.3,8
14 Mar 2025,2991.3,10
15 Mar 2025,2991.3,8
16 Mar 2025,3001.1,8
17 Mar 2025,3006.1,8
18 Mar 2025,3040.8,8
19 Mar 2025,3041.2,7
20 Mar 2025,3043.8,9
21 Mar 2025,3043.8,12
22 Mar 2025,3043.8,12
23 Mar 2025,3021.4,12
24 Mar 2025,3015.6,12
25 Mar 2025,3025.9,9
26 Mar 2025,3022.5,12
27 Mar 2025,3061,11
28 Mar 2025,3090.9,9
29 Mar 2025,3090.9,9
30 Mar 2025,3114.3,9
31 Mar 2025,3122.8,8
1 Apr 2025,3118.9,8
2 Apr 2025,3166.2,9
3 Apr 2025,3121.7,11
4 Apr 2025,3121.7,8
5 Apr 2025,3121.7,8
6 Apr 2025,3035.4,8
7 Apr 2025,2973.6,5
8 Apr 2025,2990.2,5
9 Apr 2025,3079.4,6
10 Apr 2025,3177.5,6
11 Apr 2025,3177.5,8
12 Apr 2025,3177.5,8
13 Apr 2025,3244.6,8
14 Apr 2025,3226.3,5
15 Apr 2025,3240.4,11
16 Apr 2025,3346.4,10
17 Apr 2025,3328.4,5
18 Apr 2025,3328.4,8
19 Apr 2025,3328.4,8
20 Apr 2025,3328.4,8
21 Apr 2025,3425.3,8
22 Apr 2025,3419.4,9
23 Apr 2025,3294.1,6
24 Apr 2025,3348.6,5
25 Apr 2025,3348.6,4
26 Apr 2025,3348.6,4
27 Apr 2025,3298.4,4
28 Apr 2025,3347.7,4
29 Apr 2025,3333.6,4
30 Apr 2025,3319.1,3
1 May 2025,3222.2,5
2 May 2025,3222.2,3
3 May 2025,3222.2,1
4 May 2025,3243.3,1
5 May 2025,3322.3,3
6 May 2025,3422.8,5
7 May 2025,3391.9,5
8 May 2025,3306,5
9 May 2025,3306,4
10 May 2025,3306,4
11 May 2025,3344,4
12 May 2025,3228,1
13 May 2025,3247.8,1
14 May 2025,3188.3,2
15 May 2025,3226.6,2
16 May 2025,3226.6,-1
17 May 2025,3226.6,-1
18 May 2025,3187.2,-1
19 May 2025,3233.5,-1
20 May 2025,3284.6,-1
21 May 2025,3313.5,0
22 May 2025,3295,3
23 May 2025,3295,2
24 May 2025,3295,2
25 May 2025,3365.8,2
26 May 2025,3365.8,4
27 May 2025,3300.4,4
28 May 2025,3300.4,6
29 May 2025,3343.9,5
30 May 2025,3343.9,4
31 May 2025,3317.1,4
1 Jun 2025,3315.4,4
2 Jun 2025,3397.2,4
3 Jun 2025,3377.1,5
4 Jun 2025,3399.2,7
5 Jun 2025,3375.1,9
6 Jun 2025,3375.1,6
7 Jun 2025,3375.1,4
8 Jun 2025,3346.6,4
9 Jun 2025,3354.9,7
10 Jun 2025,3343.4,4
11 Jun 2025,3343.7,7
12 Jun 2025,3402.4,6
13 Jun 2025,3402.4,6
14 Jun 2025,3402.4,4
15 Jun 2025,3452.8,4
16 Jun 2025,3417.3,3
17 Jun 2025,3406.9,5
18 Jun 2025,3408.1,7
19 Jun 2025,3408.1,10
20 Jun 2025,3408.1,10
21 Jun 2025,3408.1,10
22 Jun 2025,3385.7,10
23 Jun 2025,3395,10
24 Jun 2025,3333.9,6
25 Jun 2025,3343.1,3
26 Jun 2025,3348,8
27 Jun 2025,3348,6
28 Jun 2025,3348,6
29 Jun 2025,3287.6,6
30 Jun 2025,3307.7,6
1 Jul 2025,3349.8,2
2 Jul 2025,3359.7,3
3 Jul 2025,3342.9,-3
4 Jul 2025,3342.9,0
5 Jul 2025,3342.9,0
6 Jul 2025,3342.9,0
7 Jul 2025,3342.8,2
8 Jul 2025,3316.9,2
9 Jul 2025,3321,2
10 Jul 2025,3325.7,-1
11 Jul 2025,3325.7,3
12 Jul 2025,3325.7,3
13 Jul 2025,3364,3
14 Jul 2025,3359.1,1
15 Jul 2025,3336.7,3
16 Jul 2025,3359.1,3
17 Jul 2025,3345.3,0
18 Jul 2025,3345.3,4
19 Jul 2025,3345.3,6
20 Jul 2025,3358.3,6
21 Jul 2025,3406.4,5
22 Jul 2025,3443.7,2
23 Jul 2025,3397.6,5
24 Jul 2025,3373.5,3
25 Jul 2025,3373.5,3
26 Jul 2025,3373.5,3
27 Jul 2025,3335.6,3
28 Jul 2025,3310,0
29 Jul 2025,3324,0
30 Jul 2025,3295.8,-4
31 Jul 2025,3293.2,-3
1 Aug 2025,3293.2,2
2 Aug 2025,3348.6,4
3 Aug 2025,3399.8,4
4 Aug 2025,3426.4,3
5 Aug 2025,3434.7,7
6 Aug 2025,3433.4,4
7 Aug 2025,3453.7,7
8 Aug 2025,3453.7,9
9 Aug 2025,3453.7,9
10 Aug 2025,3491.3,9
11 Aug 2025,3404.7,8
12 Aug 2025,3399,10
13 Aug 2025,3399,10
14 Aug 2025,3408.3,10
15 Aug 2025,3383.2,9
16 Aug 2025,3383.2,9
17 Aug 2025,3383.2,9
18 Aug 2025,3378,5
19 Aug 2025,3358.7,5
20 Aug 2025,3388.5,2
21 Aug 2025,3381.6,7
22 Aug 2025,3381.6,8
23 Aug 2025,3381.6,10
24 Aug 2025,3418.5,10
25 Aug 2025,3418.5,10
26 Aug 2025,3417.5,10
27 Aug 2025,3433,10
28 Aug 2025,3448.6,10
29 Aug 2025,3474.3,9
30 Aug 2025,3474.3,12
31 Aug 2025,3516.1,12
1 Sept 2025,3516.1,9
2 Sept 2025,3592.2,9
3 Sept 2025,3592.2,10
4 Sept 2025,3635.5,10
5 Sept 2025,3606.7,10
6 Sept 2025,3606.7,10
7 Sept 2025,3653.3,10
8 Sept 2025,3653.3,10
9 Sept 2025,3677.4,10
10 Sept 2025,3682.2,10
11 Sept 2025,3682,9
12 Sept 2025,3673.6,10
13 Sept 2025,3673.6,8
14 Sept 2025,3686.4,8
15 Sept 2025,3686.4,8
16 Sept 2025,3725.1,7
17 Sept 2025,3725.1,7
18 Sept 2025,3717.8,7
19 Sept 2025,3678.3,6
20 Sept 2025,3678.3,6
21 Sept 2025,3705.8,6
22 Sept 2025,3705.8,5
23 Sept 2025,3775.1,5
24 Sept 2025,3768.1,7
25 Sept 2025,3771.1,6
26 Sept 2025,3771.1,3
27 Sept 2025,3771.1,3
28 Sept 2025,3809,3
29 Sept 2025,3809,3
30 Sept 2025,3873.2,3
1 Oct 2025,3873.2,1
2 Oct 2025,3897.5,3
3 Oct 2025,3868.1,6
4 Oct 2025,3868.1,4
5 Oct 2025,3908.9,4
6 Oct 2025,3908.9,0
7 Oct 2025,3976.3,0
8 Oct 2025,4004.4,2
9 Oct 2025,4070.5,2
10 Oct 2025,3972.6,4
11 Oct 2025,3972.6,6
12 Oct 2025,4000.4,6
13 Oct 2025,4133,4
14 Oct 2025,4133,4
15 Oct 2025,4163.4,3
16 Oct 2025,4201.6,3
17 Oct 2025,4304.6,3
18 Oct 2025,4304.6,3
19 Oct 2025,4213.3,3
20 Oct 2025,4359.4,5
21 Oct 2025,4359.4,3
22 Oct 2025,4109.1,3
23 Oct 2025,4065.4,0
24 Oct 2025,4145.6,-3
25 Oct 2025,4145.6,-3
26 Oct 2025,4137.8,-3
27 Oct 2025,4137.8,-1
28 Oct 2025,4019.7,-2
29 Oct 2025,3983.1,1
30 Oct 2025,4000.7,-1
31 Oct 2025,4015.9,-2
1 Nov 2025,4015.9,-6
2 Nov 2025,3996.5,-6
3 Nov 2025,4014,-2
4 Nov 2025,3960.5,0
5 Nov 2025,3992.9,0
6 Nov 2025,3991,0
7 Nov 2025,3991,4
8 Nov 2025,3991,4
9 Nov 2025,4009.8,4
10 Nov 2025,4122,6
11 Nov 2025,4116.3,2
12 Nov 2025,4213.6,4
13 Nov 2025,4194.5,4
14 Nov 2025,4194.5,4
15 Nov 2025,4194.5,4
16 Nov 2025,4094.2,4
17 Nov 2025,4074.5,4
18 Nov 2025,4066.5,4
19 Nov 2025,4082.8,6
20 Nov 2025,4060,5
21 Nov 2025,4060,2
22 Nov 2025,4060,5
23 Nov 2025,4079.5,5
24 Nov 2025,4094.2,5
25 Nov 2025,4094.2,6
26 Nov 2025,4165.2,6
27 Nov 2025,4202.3,6
28 Nov 2025,4165.2,6
29 Nov 2025,4202.3,6
30 Nov 2025,4254.9,6
1 Dec 2025,4274.8,6
2 Dec 2025,4220.8,4
3 Dec 2025,4232.5,4
4 Dec 2025,4243,6
5 Dec 2025,4243,4
6 Dec 2025,4243,3
7 Dec 2025,4243,3
8 Dec 2025,4217.7,5
9 Dec 2025,4236.2,7
10 Dec 2025,4224.7,7
11 Dec 2025,4313,9
12 Dec 2025,4313,9
13 Dec 2025,4313,9
14 Dec 2025,4328.3,9
15 Dec 2025,4335.2,9
16 Dec 2025,4332.3,7
17 Dec 2025,4373.9,10
18 Dec 2025,4364.5,8
19 Dec 2025,4364.5,8
20 Dec 2025,4364.5,8
21 Dec 2025,4387.3,8
22 Dec 2025,4469.4,8
23 Dec 2025,4505.7,5
24 Dec 2025,4505.7,9
25 Dec 2025,4502.8,7
26 Dec 2025,4502.8,7
27 Dec 2025,4502.8,7
28 Dec 2025,4552.7,7
29 Dec 2025,4343.6,7
30 Dec 2025,4386.3,9
31 Dec 2025,4386.3,4
1 Jan 2026,4341.1,2
2 Jan 2026,4341.1,2
3 Jan 2026,4341.1,2
4 Jan 2026,4329.6,2
5 Jan 2026,4451.5,6
6 Jan 2026,4496.1,9
7 Jan 2026,4462.5,9
8 Jan 2026,4460.7,9
9 Jan 2026,4460.7,7
10 Jan 2026,4460.7,7
11 Jan 2026,4500.9,7
12 Jan 2026,4614.7,5
13 Jan 2026,4599.1,6
14 Jan 2026,4635.7,6
15 Jan 2026,4623.7,3
16 Jan 2026,4623.7,3
17 Jan 2026,4623.7,3
18 Jan 2026,4595.4,3
19 Jan 2026,4595.4,5
20 Jan 2026,4765.8,5
21 Jan 2026,4837.5,3
22 Jan 2026,4913.4,3
23 Jan 2026,4913.4,4
24 Jan 2026,4913.4,4
25 Jan 2026,4979.7,4
26 Jan 2026,5082.5,2
27 Jan 2026,5082.5,0
28 Jan 2026,5340.2,2
29 Jan 2026,5354.8,4
30 Jan 2026,5354.8,4
31 Jan 2026,5354.8,4
1 Feb 2026,4745.1,4
2 Feb 2026,4652.6,2
3 Feb 2026,4935,-1
4 Feb 2026,4950.8,1
5 Feb 2026,4889.5,1
6 Feb 2026,4889.5,-1
7 Feb 2026,4889.5,1
8 Feb 2026,4979.8,1
9 Feb 2026,5079.4,1
10 Feb 2026,5031,4
11 Feb 2026,5098.5,6
12 Feb 2026,4948.4,1
13 Feb 2026,4948.4,6
14 Feb 2026,4948.4,6
15 Feb 2026,5046.3,6
16 Feb 2026,5046.3,4
17 Feb 2026,4905.9,1
18 Feb 2026,5009.5,6
19 Feb 2026,4997.4,2
20 Feb 2026,4997.4,6
21 Feb 2026,4997.4,6
22 Feb 2026,5080.9,6
24 Feb 2026,5176.3,4
25 Feb 2026,5226.2,0
26 Feb 2026,5194.2,2
27 Feb 2026,5194.2,4
28 Feb 2026,5194.2,4
1 Mar 2026,5247.9,4
2 Mar 2026,5311.6,4
3 Mar 2026,5123.7,4
4 Mar 2026,5134.7,4
5 Mar 2026,5078.7,-3
6 Mar 2026,5078.7,2
7 Mar 2026,5078.7,-3
8 Mar 2026,5158.7,-3
9 Mar 2026,5103.7,-3
10 Mar 2026,5242.1,-1
11 Mar 2026,5179.1,1
12 Mar 2026,5125.8,-2
13 Mar 2026,5125.8,-4
14 Mar 2026,5125.8,-4
15 Mar 2026,5061.7,-4
16 Mar 2026,5002.2,-2
17 Mar 2026,5008.2,-2
18 Mar 2026,4896.2,-4